Index,Date_2017,Hour,Throughput_2017,Week Number,Weekday,Date_2018,Throughput_2018,Date_2019,Throughput_2019
1599,,13:00:00,,22,Sunday,6/3/18,1,6/2/19,5
1600,,14:00:00,,22,Sunday,,,6/2/19,8
1601,,15:00:00,,22,Sunday,6/3/18,1,6/2/19,3
1602,,16:00:00,,22,Sunday,,,6/2/19,3
1603,,18:00:00,,22,Sunday,,,6/2/19,13
1604,,6:00:00,,22,Thursday,5/31/18,1,,
1605,,8:00:00,,22,Thursday,5/31/18,1,,
1606,,10:00:00,,22,Thursday,,,5/30/19,6
1607,,11:00:00,,22,Thursday,5/31/18,7,5/30/19,3
1608,,12:00:00,,22,Thursday,5/31/18,2,5/30/19,2
1609,,14:00:00,,22,Thursday,5/31/18,2,,
1610,,15:00:00,,22,Thursday,,,5/30/19,2
1611,,16:00:00,,22,Thursday,5/31/18,5,5/30/19,2
1612,,18:00:00,,22,Thursday,5/31/18,4,,
1613,,20:00:00,,22,Thursday,5/31/18,2,5/30/19,8
1614,,21:00:00,,22,Thursday,5/31/18,1,,
1615,5/30/17,5:00:00,1,22,Tuesday,,,,
1616,,6:00:00,,22,Tuesday,,,5/28/19,2
1617,5/30/17,7:00:00,4,22,Tuesday,,,,
1618,,9:00:00,,22,Tuesday,,,5/28/19,2
1619,,10:00:00,,22,Tuesday,,,5/28/19,2
1620,,11:00:00,,22,Tuesday,5/29/18,1,5/28/19,2
1621,,13:00:00,,22,Tuesday,5/29/18,1,,
1622,,14:00:00,,22,Tuesday,,,5/28/19,10
1623,,15:00:00,,22,Tuesday,,,5/28/19,2
1624,5/30/17,16:00:00,4,22,Tuesday,,,5/28/19,2
1625,5/30/17,17:00:00,4,22,Tuesday,,,,
1626,,18:00:00,,22,Tuesday,5/29/18,6,,
1627,,21:00:00,,22,Tuesday,5/29/18,4,5/28/19,2
1628,,9:00:00,,22,Wednesday,,,5/29/19,1
1629,,10:00:00,,22,Wednesday,,,5/29/19,4
1630,,11:00:00,,22,Wednesday,,,5/29/19,2
1631,,12:00:00,,22,Wednesday,5/30/18,2,5/29/19,3
1632,,13:00:00,,22,Wednesday,5/30/18,2,,
1633,,14:00:00,,22,Wednesday,5/30/18,2,,
1634,,15:00:00,,22,Wednesday,,,5/29/19,2
1635,,16:00:00,,22,Wednesday,5/30/18,6,5/29/19,5
1636,,17:00:00,,22,Wednesday,,,5/29/19,3
1637,,18:00:00,,22,Wednesday,,,5/29/19,2
1638,,19:00:00,,22,Wednesday,,,5/29/19,4
1639,,5:00:00,,23,Friday,6/8/18,1,6/7/19,3
1640,,6:00:00,,23,Friday,,,6/7/19,5
