Index,Date_2015,Hour,Throughput_2015,Week Number,Weekday
419,3/17/15,16:00:00,122,12,Tuesday
420,3/17/15,17:00:00,40,12,Tuesday
421,3/18/15,5:00:00,26,12,Wednesday
422,3/18/15,6:00:00,122,12,Wednesday
423,3/18/15,7:00:00,85,12,Wednesday
424,3/18/15,16:00:00,119,12,Wednesday
425,3/18/15,17:00:00,45,12,Wednesday
426,3/19/15,5:00:00,12,12,Thursday
427,3/19/15,6:00:00,131,12,Thursday
428,3/19/15,7:00:00,93,12,Thursday
429,3/19/15,15:00:00,0,12,Thursday
430,3/19/15,16:00:00,133,12,Thursday
431,3/19/15,17:00:00,37,12,Thursday
432,3/20/15,5:00:00,8,12,Friday
433,3/20/15,6:00:00,174,12,Friday
434,3/20/15,7:00:00,60,12,Friday
435,3/20/15,16:00:00,135,12,Friday
436,3/20/15,17:00:00,32,12,Friday
437,3/21/15,5:00:00,11,12,Saturday
438,3/21/15,6:00:00,219,12,Saturday
439,3/21/15,7:00:00,33,12,Saturday
440,3/21/15,16:00:00,133,12,Saturday
441,3/21/15,17:00:00,9,12,Saturday
442,3/22/15,5:00:00,5,12,Sunday
443,3/22/15,6:00:00,152,12,Sunday
444,3/22/15,7:00:00,89,12,Sunday
445,3/22/15,16:00:00,161,12,Sunday
446,3/22/15,17:00:00,17,12,Sunday
447,3/23/15,5:00:00,26,13,Monday
448,3/23/15,6:00:00,124,13,Monday
449,3/23/15,7:00:00,101,13,Monday
450,3/23/15,16:00:00,138,13,Monday
451,3/23/15,17:00:00,37,13,Monday
452,3/24/15,5:00:00,11,13,Tuesday
453,3/24/15,6:00:00,224,13,Tuesday
454,3/24/15,7:00:00,25,13,Tuesday
455,3/24/15,16:00:00,129,13,Tuesday
456,3/24/15,17:00:00,52,13,Tuesday
457,3/25/15,5:00:00,14,13,Wednesday
458,3/25/15,6:00:00,174,13,Wednesday
459,3/25/15,7:00:00,49,13,Wednesday
460,3/25/15,18:00:00,113,13,Wednesday
461,3/25/15,19:00:00,45,13,Wednesday
462,3/26/15,5:00:00,0,13,Thursday
463,3/26/15,6:00:00,209,13,Thursday
464,3/26/15,7:00:00,44,13,Thursday
465,3/26/15,16:00:00,110,13,Thursday
466,3/26/15,17:00:00,55,13,Thursday
467,3/27/15,5:00:00,35,13,Friday
468,3/27/15,6:00:00,154,13,Friday
469,3/27/15,7:00:00,66,13,Friday
470,3/27/15,17:00:00,131,13,Friday
471,3/28/15,5:00:00,29,13,Saturday
472,3/28/15,6:00:00,141,13,Saturday
473,3/28/15,7:00:00,84,13,Saturday
474,3/28/15,16:00:00,78,13,Saturday
475,3/28/15,17:00:00,57,13,Saturday
476,3/29/15,6:00:00,18,13,Sunday
477,3/29/15,7:00:00,143,13,Sunday
478,3/29/15,8:00:00,106,13,Sunday
479,3/29/15,16:00:00,107,13,Sunday
480,3/29/15,17:00:00,59,13,Sunday
481,3/30/15,5:00:00,27,14,Monday
482,3/30/15,6:00:00,220,14,Monday
483,3/30/15,7:00:00,29,14,Monday
484,3/30/15,18:00:00,121,14,Monday
485,3/30/15,19:00:00,46,14,Monday
486,3/31/15,5:00:00,24,14,Tuesday
487,3/31/15,6:00:00,144,14,Tuesday
488,3/31/15,7:00:00,76,14,Tuesday
489,3/31/15,16:00:00,107,14,Tuesday
490,3/31/15,17:00:00,64,14,Tuesday
491,4/1/15,5:00:00,15,14,Wednesday
492,4/1/15,6:00:00,122,14,Wednesday
493,4/1/15,7:00:00,139,14,Wednesday
494,4/1/15,16:00:00,85,14,Wednesday
495,4/1/15,17:00:00,51,14,Wednesday
496,4/1/15,18:00:00,52,14,Wednesday
497,4/2/15,5:00:00,27,14,Thursday
498,4/2/15,6:00:00,150,14,Thursday
499,4/2/15,7:00:00,85,14,Thursday
500,4/2/15,17:00:00,83,14,Thursday
501,4/2/15,18:00:00,88,14,Thursday
502,4/2/15,19:00:00,4,14,Thursday
503,4/3/15,5:00:00,17,14,Friday
504,4/3/15,6:00:00,121,14,Friday
505,4/3/15,7:00:00,114,14,Friday
506,4/3/15,17:00:00,155,14,Friday
507,4/3/15,18:00:00,17,14,Friday
508,4/4/15,5:00:00,9,14,Saturday
509,4/4/15,6:00:00,122,14,Saturday
510,4/4/15,7:00:00,96,14,Saturday
511,4/4/15,16:00:00,77,14,Saturday
512,4/4/15,17:00:00,58,14,Saturday
513,4/5/15,5:00:00,18,14,Sunday
514,4/5/15,6:00:00,135,14,Sunday
515,4/5/15,7:00:00,44,14,Sunday
516,4/5/15,16:00:00,102,14,Sunday
517,4/5/15,17:00:00,65,14,Sunday
518,4/6/15,5:00:00,20,15,Monday
519,4/6/15,6:00:00,175,15,Monday
520,4/6/15,7:00:00,90,15,Monday
521,4/6/15,16:00:00,112,15,Monday
522,4/6/15,17:00:00,67,15,Monday
523,4/7/15,5:00:00,23,15,Tuesday
524,4/7/15,6:00:00,100,15,Tuesday
525,4/7/15,7:00:00,67,15,Tuesday
526,4/7/15,16:00:00,129,15,Tuesday
527,4/7/15,17:00:00,43,15,Tuesday
528,4/8/15,5:00:00,15,15,Wednesday
529,4/8/15,6:00:00,126,15,Wednesday
530,4/8/15,7:00:00,88,15,Wednesday
531,4/9/15,5:00:00,5,15,Thursday
532,4/9/15,6:00:00,122,15,Thursday
533,4/9/15,7:00:00,99,15,Thursday
534,4/10/15,5:00:00,35,15,Friday
535,4/10/15,6:00:00,98,15,Friday
536,4/10/15,7:00:00,108,15,Friday
537,4/11/15,5:00:00,15,15,Saturday
538,4/11/15,6:00:00,168,15,Saturday
539,4/11/15,7:00:00,62,15,Saturday
540,4/12/15,5:00:00,10,15,Sunday
541,4/12/15,6:00:00,202,15,Sunday
542,4/12/15,7:00:00,69,15,Sunday
543,4/13/15,5:00:00,17,16,Monday
544,4/13/15,6:00:00,197,16,Monday
545,4/13/15,7:00:00,77,16,Monday
546,4/14/15,5:00:00,13,16,Tuesday
547,4/14/15,6:00:00,103,16,Tuesday
548,4/14/15,7:00:00,77,16,Tuesday
549,4/14/15,8:00:00,43,16,Tuesday
550,4/15/15,5:00:00,27,16,Wednesday
551,4/15/15,6:00:00,137,16,Wednesday
552,4/15/15,7:00:00,72,16,Wednesday
553,4/16/15,5:00:00,7,16,Thursday
554,4/16/15,6:00:00,144,16,Thursday
555,4/16/15,7:00:00,101,16,Thursday
556,4/17/15,5:00:00,15,16,Friday
557,4/17/15,6:00:00,138,16,Friday
558,4/17/15,7:00:00,79,16,Friday
559,4/18/15,5:00:00,10,16,Saturday
560,4/18/15,6:00:00,170,16,Saturday
561,4/18/15,7:00:00,79,16,Saturday
562,4/19/15,5:00:00,15,16,Sunday
563,4/19/15,6:00:00,115,16,Sunday
564,4/19/15,7:00:00,124,16,Sunday
565,4/20/15,5:00:00,22,17,Monday
566,4/20/15,6:00:00,141,17,Monday
567,4/20/15,7:00:00,86,17,Monday
